trade_id,coin,type,timeframe,entry_price,exit_price,profit,profit_percentage,entry_time,exit_time,tp1_time,tp2_time,tp3_time
#1101,OM,long,1h,4.0146099592831845,4.008031418822345,-0.16386499629006157,-0.16386499629006157,12/06/2024 18:00,12/06/2024 22:00,,,
#1129,APE,short,1h,1.8832667280212185,1.8832667280212185,0.0,0.0,12/06/2024 22:00,12/06/2024 22:00,,,
#1072,KCS,long,1h,13.424846395818255,13.482336357369944,0.6139002582844101,0.6139002582844101,12/06/2024 15:00,12/06/2024 22:00,12/06/2024 16:00,12/06/2024 18:00,
#1117,_______________DOG,long,1h,0.006962015630055869,0.007201840386136253,2.009443555057082,2.009443555057082,12/06/2024 19:00,12/06/2024 22:00,12/06/2024 20:00,12/06/2024 21:00,12/06/2024 22:00
#1074,1INCH,long,1h,0.5282969580902406,0.5454720973858149,1.89643932305973,1.89643932305973,12/06/2024 15:00,12/06/2024 22:00,12/06/2024 16:00,12/06/2024 17:00,12/06/2024 22:00
#1112,ENS,long,1h,42.850615057219386,42.15060830630358,-1.633597907477103,-1.633597907477103,12/06/2024 19:00,12/06/2024 23:00,,,
#1105,XTZ,long,1h,1.70884885061769,1.7633531462874141,1.860560836759388,1.860560836759388,12/06/2024 18:00,12/06/2024 23:00,12/06/2024 20:00,12/06/2024 21:00,12/06/2024 23:00
#1081,AR,long,1h,27.566121268969763,28.57172086511484,2.1279735320553694,2.1279735320553694,12/06/2024 16:00,12/06/2024 23:00,12/06/2024 17:00,12/06/2024 19:00,12/06/2024 23:00
#1108,PYTH,long,1h,0.5264881576238696,0.5194070227641648,-1.3449751446762077,-1.3449751446762077,12/06/2024 18:00,12/06/2024 23:00,,,
#1130,XRP,long,1h,2.4515288453482658,2.4261204875921476,-1.0364290758532206,-1.0364290758532206,12/06/2024 23:00,12/07/2024 00:00,,,
#1099,____PEPE,long,1h,2.1715079560689293e-05,2.1628041650083874e-05,0.30799002984057544,0.30799002984057544,12/06/2024 18:00,12/07/2024 00:00,12/06/2024 20:00,,
#1134,ALGO,long,1h,0.5128296703431281,0.5002875549435,-2.445668830205622,-2.445668830205622,12/06/2024 23:00,12/07/2024 00:00,,,
#1135,EOS,long,1h,1.3935390705568391,1.3703168511433215,-1.666420404290378,-1.666420404290378,12/06/2024 23:00,12/07/2024 00:00,,,
#1127,QNT,long,1h,154.5733529622707,159.20095423230978,1.7463773816489345,1.7463773816489345,12/06/2024 21:00,12/07/2024 00:00,12/06/2024 22:00,12/06/2024 23:00,12/07/2024 00:00
#1140,_KLAY,short,1h,0.3314194934191819,0.3314194934191819,0.0,0.0,12/07/2024 00:00,12/07/2024 00:00,,,
#1136,EGLD,long,1h,55.83016008095886,55.25115156561249,-1.0370891190474074,-1.0370891190474074,12/06/2024 23:00,12/07/2024 00:00,,,
#1141,FLOW,short,1h,1.1588243076024247,1.1588243076024247,0.0,0.0,12/07/2024 00:00,12/07/2024 00:00,,,
#1089,ORDI,long,1h,47.398586161522054,47.74782729185109,0.9335224385851131,0.9335224385851131,12/06/2024 17:00,12/07/2024 00:00,12/06/2024 18:00,12/06/2024 20:00,
#1109,BOME,long,1h,0.00992098404526126,0.009816916497421816,-1.0489639673309696,-1.0489639673309696,12/06/2024 18:00,12/07/2024 00:00,,,
#1118,CKB,long,1h,0.017529440938578028,0.017343145107374544,-1.062759684443172,-1.062759684443172,12/06/2024 19:00,12/07/2024 00:00,,,
#1076,WOO,long,1h,0.36205131986203704,0.36425315486298293,1.168272105214303,1.168272105214303,12/06/2024 15:00,12/07/2024 00:00,12/06/2024 20:00,12/06/2024 21:00,
#1138,_SNEK,short,1h,0.008019326536229974,0.008162992761624206,-1.7914998815071532,-1.7914998815071532,12/06/2024 23:00,12/07/2024 00:00,,,
#1132,XLM,long,1h,0.49951651571439615,0.4937318669492711,-1.1580495505442818,-1.1580495505442818,12/06/2024 23:00,12/07/2024 01:00,,,
#1131,DOT,long,1h,10.77244601189471,10.609522909955238,-1.5124058339171527,-1.5124058339171527,12/06/2024 23:00,12/07/2024 01:00,,,
#1133,POL,long,1h,0.7218433296719869,0.7089084200880236,-1.7919275627082583,-1.7919275627082583,12/06/2024 23:00,12/07/2024 01:00,,,
#1100,_IMX,long,1h,2.1425425587078486,2.105169638434978,-1.7443256901001811,-1.7443256901001811,12/06/2024 18:00,12/07/2024 01:00,,,
#1080,FIL,long,1h,8.015986576467299,8.004529280960256,0.706937548329782,0.706937548329782,12/06/2024 16:00,12/07/2024 01:00,12/06/2024 19:00,12/06/2024 20:00,
#1139,ONDO,long,1h,1.7764256637506244,1.7426314446659017,-1.9023716992115431,-1.9023716992115431,12/07/2024 00:00,12/07/2024 01:00,,,
#1113,MATIC,long,1h,0.6987721104067023,0.7040357673493871,1.0275840201840805,1.0275840201840805,12/06/2024 19:00,12/07/2024 01:00,12/06/2024 20:00,12/06/2024 23:00,
#1128,BTG,long,1h,38.474124996135444,38.071598566442425,-1.0462263397372933,-1.0462263397372933,12/06/2024 21:00,12/07/2024 01:00,,,
#1146,_IMX,short,1h,2.0906739274984796,2.0906739274984796,0.0,0.0,12/07/2024 02:00,12/07/2024 02:00,,,
#1145,_KLAY,long,1h,0.3425043305951965,0.33287300305644557,-2.8120308791465045,-2.8120308791465045,12/07/2024 01:00,12/07/2024 02:00,,,
#1082,NEXO,long,1h,1.5344383903675545,1.530930691547201,0.15867980725593822,0.15867980725593822,12/06/2024 16:00,12/07/2024 02:00,12/06/2024 17:00,,
#1075,_HOT,long,1h,0.003802664628946387,0.003857381199799749,1.9590857821400003,1.9590857821400003,12/06/2024 15:00,12/07/2024 02:00,12/06/2024 17:00,12/06/2024 19:00,
#1096,ADA,long,1h,1.2145599030611218,1.216390451690265,0.9077538158758459,0.9077538158758459,12/06/2024 18:00,12/07/2024 03:00,12/06/2024 20:00,12/06/2024 23:00,
#1149,TRX,short,1h,0.3252525112353543,0.3252525112353543,0.0,0.0,12/07/2024 03:00,12/07/2024 03:00,,,
#1120,LINK,long,1h,25.047349322283637,25.755524963171336,1.6492861255261473,1.6492861255261473,12/06/2024 20:00,12/07/2024 03:00,12/06/2024 23:00,12/07/2024 00:00,12/07/2024 03:00
#1152,XMR,long,1h,198.94770932467242,198.94770932467242,0.0,0.0,12/07/2024 03:00,12/07/2024 03:00,,,
#1153,ONDO,short,1h,1.7211537549087115,1.7211537549087115,0.0,0.0,12/07/2024 03:00,12/07/2024 03:00,,,
#1126,__BRETT,short,1h,0.20000062656438833,0.2018233359368856,-0.9113518311456172,-0.9113518311456172,12/06/2024 21:00,12/07/2024 03:00,,,
#1107,ZEC,short,1h,69.71422439760667,70.91917357530552,-1.7284122259276213,-1.7284122259276213,12/06/2024 18:00,12/07/2024 03:00,,,
#1156,COMP,long,1h,118.11616168289687,118.11616168289687,0.0,0.0,12/07/2024 03:00,12/07/2024 03:00,,,
#1137,TFUEL,long,1h,0.09285102884939814,0.0951585517509677,1.4496931725967652,1.4496931725967652,12/06/2024 23:00,12/07/2024 03:00,12/07/2024 01:00,12/07/2024 02:00,12/07/2024 03:00
#1142,BTC,long,1h,100470.54184394561,99599.93886831128,-0.8665256100505414,-0.8665256100505414,12/07/2024 01:00,12/07/2024 04:00,,,
#1143,XRP,long,1h,2.460476434149872,2.424045124452064,-1.4806607855358402,-1.4806607855358402,12/07/2024 01:00,12/07/2024 04:00,,,
#1158,SHIB,short,1h,3.069545172080028e-05,3.069545172080028e-05,0.0,0.0,12/07/2024 04:00,12/07/2024 04:00,,,
#1144,WBTC,long,1h,100211.1541790437,99377.5498206402,-0.8318478768482555,-0.8318478768482555,12/07/2024 01:00,12/07/2024 04:00,,,
#1150,LTC,long,1h,137.0830078677946,135.14288418754276,-1.415291151273056,-1.415291151273056,12/07/2024 03:00,12/07/2024 04:00,,,
#1154,SAND,long,1h,0.9242689852511161,0.9095171588590781,-1.5960533813681992,-1.5960533813681992,12/07/2024 03:00,12/07/2024 04:00,,,
#1155,GALA,long,1h,0.060555808658821014,0.059401699036573684,-1.9058611350559747,-1.9058611350559747,12/07/2024 03:00,12/07/2024 04:00,,,
#1147,MANA,long,1h,0.7751777159048877,0.7655583614819441,-1.2409224653361761,-1.2409224653361761,12/07/2024 02:00,12/07/2024 04:00,,,
#1106,_POPCAT,long,1h,1.4000299769846465,1.4050965746422837,1.4168862555253543,1.4168862555253543,12/06/2024 18:00,12/07/2024 04:00,12/06/2024 19:00,12/06/2024 21:00,
#1083,KSM,long,1h,46.018192053896286,46.2691518839768,1.4063554652716213,1.4063554652716213,12/06/2024 16:00,12/07/2024 04:00,12/06/2024 17:00,12/07/2024 00:00,
#1123,_FLOKI,long,1h,0.0002374551817120441,0.00023517803365891932,-0.9589801480458763,-0.9589801480458763,12/06/2024 20:00,12/07/2024 05:00,,,
#1161,EOS,short,1h,1.3377752291282798,1.3580916150907294,-1.5186696180409998,-1.5186696180409998,12/07/2024 04:00,12/07/2024 05:00,,,
#1168,BTG,short,1h,37.52495538746856,37.52495538746856,0.0,0.0,12/07/2024 05:00,12/07/2024 05:00,,,
#1151,_IMX,long,1h,2.123818377418172,2.1036403253829405,-0.9500836912316765,-0.9500836912316765,12/07/2024 03:00,12/07/2024 06:00,,,
#1172,ENS,short,1h,41.675004466935725,41.675004466935725,0.0,0.0,12/07/2024 06:00,12/07/2024 06:00,,,
#1165,SAND,long,1h,0.9163357613839208,0.9038782127402224,-1.3594960677824102,-1.3594960677824102,12/07/2024 05:00,12/07/2024 06:00,,,
#1070,GT,long,1h,12.742899549669723,13.117565353530242,1.7151124153500397,1.7151124153500397,12/06/2024 15:00,12/07/2024 06:00,12/06/2024 18:00,12/07/2024 05:00,12/07/2024 06:00
#1114,LUNC,long,1h,0.00016762311840455278,0.00016893343360639373,1.1279397070006554,1.1279397070006554,12/06/2024 19:00,12/07/2024 06:00,12/06/2024 23:00,12/07/2024 02:00,
#1174,CKB,short,1h,0.01704501655149694,0.01704501655149694,0.0,0.0,12/07/2024 06:00,12/07/2024 06:00,,,
#1094,ENJ,long,1h,0.37464606467585176,0.37271759048609815,0.1909956059154141,0.1909956059154141,12/06/2024 17:00,12/07/2024 06:00,12/06/2024 23:00,,
#1169,BNB,long,1h,748.6216467362094,744.3700429409272,-0.5679242396767552,-0.5679242396767552,12/07/2024 06:00,12/07/2024 07:00,,,
#1170,____PEPE,short,1h,2.119049912774476e-05,2.134740951220204e-05,-0.7404751700814668,-0.7404751700814668,12/07/2024 06:00,12/07/2024 07:00,,,
#1159,_STX,short,1h,2.6982527174889612,2.711716202421342,-0.4989704946877637,-0.4989704946877637,12/07/2024 04:00,12/07/2024 07:00,,,
#1171,__BONK,short,1h,4.22845552863582e-05,4.285607234683873e-05,-1.3515976616287426,-1.3515976616287426,12/07/2024 06:00,12/07/2024 07:00,,,
#1180,GRT,long,1h,0.33387057455655156,0.33387057455655156,0.0,0.0,12/07/2024 07:00,12/07/2024 07:00,,,
#1178,ONDO,short,1h,1.7144477687816424,1.7144477687816424,0.0,0.0,12/07/2024 07:00,12/07/2024 07:00,,,
#1166,__AXL,short,1h,1.0517138360452356,1.0546827480896215,0.25510163476398073,0.25510163476398073,12/07/2024 05:00,12/07/2024 07:00,12/07/2024 06:00,,
#1173,KAVA,short,1h,0.7024949533140059,0.7115486622843042,-1.288793453616662,-1.288793453616662,12/07/2024 06:00,12/07/2024 07:00,,,
#1186,TRX,short,1h,0.32535223087479515,0.32535223087479515,0.0,0.0,12/07/2024 08:00,12/07/2024 08:00,,,
#1187,TONCOIN,short,1h,6.842280923804576,6.842280923804576,0.0,0.0,12/07/2024 08:00,12/07/2024 08:00,,,
#1176,DOT,long,1h,10.68167520826316,10.50875820810364,-1.6188191158045582,-1.6188191158045582,12/07/2024 07:00,12/07/2024 08:00,,,
#1188,VET,short,1h,0.0668674799966378,0.0668674799966378,0.0,0.0,12/07/2024 08:00,12/07/2024 08:00,,,
#1190,__BONK,long,1h,4.327671961122015e-05,4.327671961122015e-05,0.0,0.0,12/07/2024 08:00,12/07/2024 08:00,,,
#1179,THETA,long,1h,3.117342081142344,3.0697482120821644,-1.5267451508799026,-1.5267451508799026,12/07/2024 07:00,12/07/2024 08:00,,,
#1182,SAND,long,1h,0.9117223844717549,0.895585238769899,-1.7699626527438628,-1.7699626527438628,12/07/2024 07:00,12/07/2024 08:00,,,
#1191,NEO,short,1h,21.13521922380109,21.13521922380109,0.0,0.0,12/07/2024 08:00,12/07/2024 08:00,,,
#1183,MANA,long,1h,0.7714367860760442,0.7572929090321576,-1.833446019061412,-1.833446019061412,12/07/2024 07:00,12/07/2024 08:00,,,
#1192,_KLAY,short,1h,0.3265474411238109,0.3265474411238109,0.0,0.0,12/07/2024 08:00,12/07/2024 08:00,,,
#1148,EGLD,long,1h,56.044255225364346,55.1888404207072,-1.526320228928661,-1.526320228928661,12/07/2024 02:00,12/07/2024 08:00,,,
#1163,ZEC,long,1h,71.35957617988478,70.55579343735604,-0.31857342983462206,-0.31857342983462206,12/07/2024 04:00,12/07/2024 08:00,12/07/2024 06:00,,
